Prototype,Notes,POSCAR
BFe2,"C17
(Fe2B) (obsolete) Structure","AB2_tI12_121_ab_i & a,c/a,x3,z3 --params=5.078,0.831626624655,0.16667,0.2 & I-42m D_{2d}^{11} #121 (abi) & tI12 & $C17$ & BFe2 & BFe2 & F. Wever and A. M\""{u}ller, Z. Anorg. Allg. Chem. 192, 317-336 (1930)
   1.00000000000000
  -2.53900000000000   2.53900000000000   2.11150000000000
   2.53900000000000  -2.53900000000000   2.11150000000000
   2.53900000000000   2.53900000000000  -2.11150000000000
     B    Fe
     2     4
Direct
   0.00000000000000   0.00000000000000   0.00000000000000    B   (2a)
   0.50000000000000   0.50000000000000   0.00000000000000    B   (2b)
   0.36667000000000   0.36667000000000   0.33334000000000   Fe   (8i)
   0.03333000000000   0.03333000000000  -0.33334000000000   Fe   (8i)
  -0.36667000000000  -0.03333000000000   0.00000000000000   Fe   (8i)
  -0.03333000000000  -0.36667000000000   0.00000000000000   Fe   (8i)"
Al9Co2,"Co2Al9 (
D
8
d
) Structure","A9B2_mP22_14_a4e_e & a,b/a,c/a,beta,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6 --params=6.213,1.01239336874,1.37719298246,94.76,0.4044,0.5381,0.2682,0.0889,0.2101,0.293,0.3891,0.3069,-0.0014,0.2159,0.8852,0.0417,0.2646,0.8851,0.3335 & P2_{1}/c C_{2h}^{5} #14 (ae^5) & mP22 & $D8_{d}$ & Co2Al9 & Co2Al9 & A. M. B. Douglas, Acta Crystallogr. Sect. B Struct. Sci. 3, 19-24 (1950)
   1.00000000000000
   6.21300000000000   0.00000000000000   0.00000000000000
   0.00000000000000   6.29000000000000   0.00000000000000
  -0.71003667870571   0.00000000000000   8.52698892721766
    Al    Co
    18     4
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Al   (2a)
   0.00000000000000   0.50000000000000   0.50000000000000   Al   (2a)
   0.40440000000000   0.53810000000000   0.26820000000000   Al   (4e)
  -0.40440000000000   1.03810000000000   0.23180000000000   Al   (4e)
  -0.40440000000000  -0.53810000000000  -0.26820000000000   Al   (4e)
   0.40440000000000  -0.03810000000000   0.76820000000000   Al   (4e)
   0.08890000000000   0.21010000000000   0.29300000000000   Al   (4e)
  -0.08890000000000   0.71010000000000   0.20700000000000   Al   (4e)
  -0.08890000000000  -0.21010000000000  -0.29300000000000   Al   (4e)
   0.08890000000000   0.28990000000000   0.79300000000000   Al   (4e)
   0.38910000000000   0.30690000000000  -0.00140000000000   Al   (4e)
  -0.38910000000000   0.80690000000000   0.50140000000000   Al   (4e)
  -0.38910000000000  -0.30690000000000   0.00140000000000   Al   (4e)
   0.38910000000000   0.19310000000000   0.49860000000000   Al   (4e)
   0.21590000000000   0.88520000000000   0.04170000000000   Al   (4e)
  -0.21590000000000   1.38520000000000   0.45830000000000   Al   (4e)
  -0.21590000000000  -0.88520000000000  -0.04170000000000   Al   (4e)
   0.21590000000000  -0.38520000000000   0.54170000000000   Al   (4e)
   0.26460000000000   0.88510000000000   0.33350000000000   Co   (4e)
  -0.26460000000000   1.38510000000000   0.16650000000000   Co   (4e)
  -0.26460000000000  -0.88510000000000  -0.33350000000000   Co   (4e)
   0.26460000000000  -0.38510000000000   0.83350000000000   Co   (4e)"
BiSe,Nevskite (BiSe) Structure,"AB_hP12_164_c2d_c2d & a,c/a,z1,z2,z3,z4,z5,z6 --params=4.212,5.44681861349,0.3727,0.1279,0.0419,0.7959,0.2797,0.5596 & P-3m1 D_{3d}^{3} #164 (c^2d^4) & hP12 & None & BiSe & Nevskite & E. Gaudin et al., Mater. Res. Bull. 30, 549-561 (1995)
   1.00000000000000
   2.10600000000000  -3.64769900074005   0.00000000000000
   2.10600000000000   3.64769900074005   0.00000000000000
   0.00000000000000   0.00000000000000  22.94200000000000
    Bi    Se
     6     6
Direct
   0.00000000000000   0.00000000000000   0.37270000000000   Bi   (2c)
   0.00000000000000   0.00000000000000  -0.37270000000000   Bi   (2c)
   0.33333333333333   0.66666666666667   0.04190000000000   Bi   (2d)
   0.66666666666667   0.33333333333333  -0.04190000000000   Bi   (2d)
   0.33333333333333   0.66666666666667   0.79590000000000   Bi   (2d)
   0.66666666666667   0.33333333333333  -0.79590000000000   Bi   (2d)
   0.00000000000000   0.00000000000000   0.12790000000000   Se   (2c)
   0.00000000000000   0.00000000000000  -0.12790000000000   Se   (2c)
   0.33333333333333   0.66666666666667   0.27970000000000   Se   (2d)
   0.66666666666667   0.33333333333333  -0.27970000000000   Se   (2d)
   0.33333333333333   0.66666666666667   0.55960000000000   Se   (2d)
   0.66666666666667   0.33333333333333  -0.55960000000000   Se   (2d)"
Be4O7(OH)2Si2,"Bertrandite (Be4Si2O7(OH)2,
S
4
6
) Structure","A4B7C2D2_oC60_36_2b_a3b_2a_b & a,b/a,c/a,y1,z1,y2,z2,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9 --params=8.7135,1.75222356114,0.524278418546,0.5852,0.5951,0.7553,0.0886,0.0872,0.0993,0.1735,0.0527,0.1628,0.3264,0.2203,0.1517,0.2897,0.1244,0.0,0.2101,0.0431,0.5074,0.2934,0.2093,0.5024,0.3254,0.1144,0.6523 & Cmc2_{1} C_{2v}^{12} #36 (a^3b^6) & oC60 & $S4_{6}$ & Be4O7(OH)2Si2 & Bertrandite & R. M. Hazen and A. Y. Au, Phys. Chem. Miner. 13, 69-78 (1986)
   1.00000000000000
   4.35675000000000  -7.63400000000000   0.00000000000000
   4.35675000000000   7.63400000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.56830000000000
    Be     O    OH    Si
     8    14     4     4
Direct
   0.12080000000000   0.22620000000000   0.16280000000000   Be   (8b)
  -0.12080000000000  -0.22620000000000   0.66280000000000   Be   (8b)
   0.22620000000000   0.12080000000000   0.66280000000000   Be   (8b)
  -0.22620000000000  -0.12080000000000   0.16280000000000   Be   (8b)
   0.10610000000000   0.54670000000000   0.15170000000000   Be   (8b)
  -0.10610000000000  -0.54670000000000   0.65170000000000   Be   (8b)
   0.54670000000000   0.10610000000000   0.65170000000000   Be   (8b)
  -0.54670000000000  -0.10610000000000   0.15170000000000   Be   (8b)
  -0.58520000000000   0.58520000000000   0.59510000000000    O   (4a)
   0.58520000000000  -0.58520000000000   1.09510000000000    O   (4a)
   0.16530000000000   0.41410000000000   0.00000000000000    O   (8b)
  -0.16530000000000  -0.41410000000000   0.50000000000000    O   (8b)
   0.41410000000000   0.16530000000000   0.50000000000000    O   (8b)
  -0.41410000000000  -0.16530000000000   0.00000000000000    O   (8b)
   0.16700000000000   0.25320000000000   0.50740000000000    O   (8b)
  -0.16700000000000  -0.25320000000000   1.00740000000000    O   (8b)
   0.25320000000000   0.16700000000000   1.00740000000000    O   (8b)
  -0.25320000000000  -0.16700000000000   0.50740000000000    O   (8b)
   0.08410000000000   0.50270000000000   0.50240000000000    O   (8b)
  -0.08410000000000  -0.50270000000000   1.00240000000000    O   (8b)
   0.50270000000000   0.08410000000000   1.00240000000000    O   (8b)
  -0.50270000000000  -0.08410000000000   0.50240000000000    O   (8b)
  -0.75530000000000   0.75530000000000   0.08860000000000   OH   (4a)
   0.75530000000000  -0.75530000000000   0.58860000000000   OH   (4a)
  -0.08720000000000   0.08720000000000   0.09930000000000   OH   (4a)
   0.08720000000000  -0.08720000000000   0.59930000000000   OH   (4a)
   0.21100000000000   0.43980000000000   0.65230000000000   Si   (8b)
  -0.21100000000000  -0.43980000000000   1.15230000000000   Si   (8b)
   0.43980000000000   0.21100000000000   1.15230000000000   Si   (8b)
  -0.43980000000000  -0.21100000000000   0.65230000000000   Si   (8b)"
Ag2H12N4O4S,"Ag2SO4·4NH3 (
H
4
17
) Structure","A2B12C4D4E_tP46_114_d_3e_e_e_a & a,c/a,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7 --params=8.442,0.757995735608,0.49194,0.082,0.21,0.416,0.183,0.287,0.52,0.063,0.227,0.603,0.1081,0.275,0.5083,0.1301,0.0595,0.1309 & P-42_{1}c D_{2d}^{4} #114 (ade^5) & tP46 & $H4_{17}$ & Ag2H12N4O4S & Ag2H12N4O4S & U. Zachwieja and H. Jacobs, Zeitschrift f{""u}r Kristallographie - Crystalline Materials 201, 207-212 (1992)
   1.00000000000000
   8.44200000000000   0.00000000000000   0.00000000000000
   0.00000000000000   8.44200000000000   0.00000000000000
   0.00000000000000   0.00000000000000   6.39900000000000
    Ag     H     N     O     S
     4    24     8     8     2
Direct
   0.00000000000000   0.50000000000000   0.49194000000000   Ag   (4d)
   0.50000000000000   0.00000000000000  -0.49194000000000   Ag   (4d)
   0.50000000000000   0.00000000000000   0.00806000000000   Ag   (4d)
   0.00000000000000   0.50000000000000   0.99194000000000   Ag   (4d)
   0.08200000000000   0.21000000000000   0.41600000000000    H   (8e)
  -0.08200000000000  -0.21000000000000   0.41600000000000    H   (8e)
   0.21000000000000  -0.08200000000000  -0.41600000000000    H   (8e)
  -0.21000000000000   0.08200000000000  -0.41600000000000    H   (8e)
   0.41800000000000   0.71000000000000   0.08400000000000    H   (8e)
   0.58200000000000   0.29000000000000   0.08400000000000    H   (8e)
   0.29000000000000   0.41800000000000   0.91600000000000    H   (8e)
   0.71000000000000   0.58200000000000   0.91600000000000    H   (8e)
   0.18300000000000   0.28700000000000   0.52000000000000    H   (8e)
  -0.18300000000000  -0.28700000000000   0.52000000000000    H   (8e)
   0.28700000000000  -0.18300000000000  -0.52000000000000    H   (8e)
  -0.28700000000000   0.18300000000000  -0.52000000000000    H   (8e)
   0.31700000000000   0.78700000000000  -0.02000000000000    H   (8e)
   0.68300000000000   0.21300000000000  -0.02000000000000    H   (8e)
   0.21300000000000   0.31700000000000   1.02000000000000    H   (8e)
   0.78700000000000   0.68300000000000   1.02000000000000    H   (8e)
   0.06300000000000   0.22700000000000   0.60300000000000    H   (8e)
  -0.06300000000000  -0.22700000000000   0.60300000000000    H   (8e)
   0.22700000000000  -0.06300000000000  -0.60300000000000    H   (8e)
  -0.22700000000000   0.06300000000000  -0.60300000000000    H   (8e)
   0.43700000000000   0.72700000000000  -0.10300000000000    H   (8e)
   0.56300000000000   0.27300000000000  -0.10300000000000    H   (8e)
   0.27300000000000   0.43700000000000   1.10300000000000    H   (8e)
   0.72700000000000   0.56300000000000   1.10300000000000    H   (8e)
   0.10810000000000   0.27500000000000   0.50830000000000    N   (8e)
  -0.10810000000000  -0.27500000000000   0.50830000000000    N   (8e)
   0.27500000000000  -0.10810000000000  -0.50830000000000    N   (8e)
  -0.27500000000000   0.10810000000000  -0.50830000000000    N   (8e)
   0.39190000000000   0.77500000000000  -0.00830000000000    N   (8e)
   0.60810000000000   0.22500000000000  -0.00830000000000    N   (8e)
   0.22500000000000   0.39190000000000   1.00830000000000    N   (8e)
   0.77500000000000   0.60810000000000   1.00830000000000    N   (8e)
   0.13010000000000   0.05950000000000   0.13090000000000    O   (8e)
  -0.13010000000000  -0.05950000000000   0.13090000000000    O   (8e)
   0.05950000000000  -0.13010000000000  -0.13090000000000    O   (8e)
  -0.05950000000000   0.13010000000000  -0.13090000000000    O   (8e)
   0.36990000000000   0.55950000000000   0.36910000000000    O   (8e)
   0.63010000000000   0.44050000000000   0.36910000000000    O   (8e)
   0.44050000000000   0.36990000000000   0.63090000000000    O   (8e)
   0.55950000000000   0.63010000000000   0.63090000000000    O   (8e)
   0.00000000000000   0.00000000000000   0.00000000000000    S   (2a)
   0.50000000000000   0.50000000000000   0.50000000000000    S   (2a)"
Ca2O5U,Ca2UO5 Structure,"A2B5C_mP32_14_2e_5e_ab & a,b/a,c/a,beta,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9 --params=7.9137,0.687529221477,1.44663052681,108.803,0.1592,0.0621,0.32,0.3462,-0.0015,0.6414,0.4447,0.3202,0.3267,0.8802,0.2831,0.3532,0.6197,0.3043,0.072,0.0163,0.261,0.1295,0.2507,0.1873,-0.0047 & P2_{1}/c C_{2h}^{5} #14 (abe^7) & mP32 & None & Ca2O5U & Ca2O5U & B. O. Loopstra and H. M. Rietveld, Acta Crystallogr. Sect. B Struct. Sci. 25, 787-791 (1969)
   1.00000000000000
   7.91370000000000   0.00000000000000   0.00000000000000
   0.00000000000000   5.44090000000000   0.00000000000000
  -3.68992957359137   0.00000000000000  10.83723687025140
    Ca     O     U
     8    20     4
Direct
   0.15920000000000   0.06210000000000   0.32000000000000   Ca   (4e)
  -0.15920000000000   0.56210000000000   0.18000000000000   Ca   (4e)
  -0.15920000000000  -0.06210000000000  -0.32000000000000   Ca   (4e)
   0.15920000000000   0.43790000000000   0.82000000000000   Ca   (4e)
   0.34620000000000  -0.00150000000000   0.64140000000000   Ca   (4e)
  -0.34620000000000   0.49850000000000  -0.14140000000000   Ca   (4e)
  -0.34620000000000   0.00150000000000  -0.64140000000000   Ca   (4e)
   0.34620000000000   0.50150000000000   1.14140000000000   Ca   (4e)
   0.44470000000000   0.32020000000000   0.32670000000000    O   (4e)
  -0.44470000000000   0.82020000000000   0.17330000000000    O   (4e)
  -0.44470000000000  -0.32020000000000  -0.32670000000000    O   (4e)
   0.44470000000000   0.17980000000000   0.82670000000000    O   (4e)
   0.88020000000000   0.28310000000000   0.35320000000000    O   (4e)
  -0.88020000000000   0.78310000000000   0.14680000000000    O   (4e)
  -0.88020000000000  -0.28310000000000  -0.35320000000000    O   (4e)
   0.88020000000000   0.21690000000000   0.85320000000000    O   (4e)
   0.61970000000000   0.30430000000000   0.07200000000000    O   (4e)
  -0.61970000000000   0.80430000000000   0.42800000000000    O   (4e)
  -0.61970000000000  -0.30430000000000  -0.07200000000000    O   (4e)
   0.61970000000000   0.19570000000000   0.57200000000000    O   (4e)
   0.01630000000000   0.26100000000000   0.12950000000000    O   (4e)
  -0.01630000000000   0.76100000000000   0.37050000000000    O   (4e)
  -0.01630000000000  -0.26100000000000  -0.12950000000000    O   (4e)
   0.01630000000000   0.23900000000000   0.62950000000000    O   (4e)
   0.25070000000000   0.18730000000000  -0.00470000000000    O   (4e)
  -0.25070000000000   0.68730000000000   0.50470000000000    O   (4e)
  -0.25070000000000  -0.18730000000000   0.00470000000000    O   (4e)
   0.25070000000000   0.31270000000000   0.49530000000000    O   (4e)
   0.00000000000000   0.00000000000000   0.00000000000000    U   (2a)
   0.00000000000000   0.50000000000000   0.50000000000000    U   (2a)
   0.50000000000000   0.00000000000000   0.00000000000000    U   (2b)
   0.50000000000000   0.50000000000000   0.50000000000000    U   (2b)"
N2(NH3)6NiO6,"H
6
4
[Ni(NO3)2(NH3)6] (obsolete) Structure","A2B6CD6_cP60_205_c_d_a_d & a,x2,x3,y3,z3,x4,y4,z4 --params=10.96,0.25,0.24,0.0,0.0,0.25,0.25,0.01 & Pa-3 T_{h}^{6} #205 (acd^2) & cP60 & $H6_{4}$ & N2(NH3)6NiO6 & N2(NH3)6NiO6 & R. W. G. Wyckoff, J. Am. Chem. Soc. 44, 1260-1266 (1922)
   1.00000000000000
  10.96000000000000   0.00000000000000   0.00000000000000
   0.00000000000000  10.96000000000000   0.00000000000000
   0.00000000000000   0.00000000000000  10.96000000000000
     N   NH3    Ni     O
     8    24     4    24
Direct
   0.25000000000000   0.25000000000000   0.25000000000000    N   (8c)
   0.25000000000000  -0.25000000000000   0.75000000000000    N   (8c)
  -0.25000000000000   0.75000000000000   0.25000000000000    N   (8c)
   0.75000000000000   0.25000000000000  -0.25000000000000    N   (8c)
  -0.25000000000000  -0.25000000000000  -0.25000000000000    N   (8c)
   0.75000000000000   0.25000000000000   0.25000000000000    N   (8c)
   0.25000000000000   0.25000000000000   0.75000000000000    N   (8c)
   0.25000000000000   0.75000000000000   0.25000000000000    N   (8c)
   0.24000000000000   0.00000000000000   0.00000000000000  NH3  (24d)
   0.26000000000000   0.00000000000000   0.50000000000000  NH3  (24d)
  -0.24000000000000   0.50000000000000   0.50000000000000  NH3  (24d)
   0.74000000000000   0.50000000000000   0.00000000000000  NH3  (24d)
   0.00000000000000   0.24000000000000   0.00000000000000  NH3  (24d)
   0.50000000000000   0.26000000000000   0.00000000000000  NH3  (24d)
   0.50000000000000  -0.24000000000000   0.50000000000000  NH3  (24d)
   0.00000000000000   0.74000000000000   0.50000000000000  NH3  (24d)
   0.00000000000000   0.00000000000000   0.24000000000000  NH3  (24d)
   0.00000000000000   0.50000000000000   0.26000000000000  NH3  (24d)
   0.50000000000000   0.50000000000000  -0.24000000000000  NH3  (24d)
   0.50000000000000   0.00000000000000   0.74000000000000  NH3  (24d)
  -0.24000000000000   0.00000000000000   0.00000000000000  NH3  (24d)
   0.74000000000000   0.00000000000000   0.50000000000000  NH3  (24d)
   0.24000000000000   0.50000000000000   0.50000000000000  NH3  (24d)
   0.26000000000000   0.50000000000000   0.00000000000000  NH3  (24d)
   0.00000000000000  -0.24000000000000   0.00000000000000  NH3  (24d)
   0.50000000000000   0.74000000000000   0.00000000000000  NH3  (24d)
   0.50000000000000   0.24000000000000   0.50000000000000  NH3  (24d)
   0.00000000000000   0.26000000000000   0.50000000000000  NH3  (24d)
   0.00000000000000   0.00000000000000  -0.24000000000000  NH3  (24d)
   0.00000000000000   0.50000000000000   0.74000000000000  NH3  (24d)
   0.50000000000000   0.50000000000000   0.24000000000000  NH3  (24d)
   0.50000000000000   0.00000000000000   0.26000000000000  NH3  (24d)
   0.00000000000000   0.00000000000000   0.00000000000000   Ni   (4a)
   0.50000000000000   0.00000000000000   0.50000000000000   Ni   (4a)
   0.00000000000000   0.50000000000000   0.50000000000000   Ni   (4a)
   0.50000000000000   0.50000000000000   0.00000000000000   Ni   (4a)
   0.25000000000000   0.25000000000000   0.01000000000000    O  (24d)
   0.25000000000000  -0.25000000000000   0.51000000000000    O  (24d)
  -0.25000000000000   0.75000000000000   0.49000000000000    O  (24d)
   0.75000000000000   0.25000000000000  -0.01000000000000    O  (24d)
   0.01000000000000   0.25000000000000   0.25000000000000    O  (24d)
   0.51000000000000   0.25000000000000  -0.25000000000000    O  (24d)
   0.49000000000000  -0.25000000000000   0.75000000000000    O  (24d)
  -0.01000000000000   0.75000000000000   0.25000000000000    O  (24d)
   0.25000000000000   0.01000000000000   0.25000000000000    O  (24d)
  -0.25000000000000   0.51000000000000   0.25000000000000    O  (24d)
   0.75000000000000   0.49000000000000  -0.25000000000000    O  (24d)
   0.25000000000000  -0.01000000000000   0.75000000000000    O  (24d)
  -0.25000000000000  -0.25000000000000  -0.01000000000000    O  (24d)
   0.75000000000000   0.25000000000000   0.49000000000000    O  (24d)
   0.25000000000000   0.25000000000000   0.51000000000000    O  (24d)
   0.25000000000000   0.75000000000000   0.01000000000000    O  (24d)
  -0.01000000000000  -0.25000000000000  -0.25000000000000    O  (24d)
   0.49000000000000   0.75000000000000   0.25000000000000    O  (24d)
   0.51000000000000   0.25000000000000   0.25000000000000    O  (24d)
   0.01000000000000   0.25000000000000   0.75000000000000    O  (24d)
  -0.25000000000000  -0.01000000000000  -0.25000000000000    O  (24d)
   0.25000000000000   0.49000000000000   0.75000000000000    O  (24d)
   0.25000000000000   0.51000000000000   0.25000000000000    O  (24d)
   0.75000000000000   0.01000000000000   0.25000000000000    O  (24d)"
FeSe2Tl,Monoclinic FeTlSe2 Structure,"AB2C_mC16_12_g_2i_i & a,b/a,c/a,beta,y1,x2,z2,x3,z3,x4,z4 --params=11.973,0.458531696317,0.593836131295,118.2,0.2493,0.5357,0.2899,0.1783,0.0907,0.1752,0.6314 & C2/m C_{2h}^{3} #12 (gi^3) & mC16 & None & FeSe2Tl & FeSe2Tl & K. Klepp and H. Boller, Monatshefte f{""u}r Chemie - Chemical Monthly 110, 1045-1055 (1979)
   1.00000000000000
   5.98650000000000  -2.74500000000000   0.00000000000000
   5.98650000000000   2.74500000000000   0.00000000000000
  -3.35983593821897   0.00000000000000   6.26606754418210
    Fe    Se    Tl
     2     4     2
Direct
  -0.24930000000000   0.24930000000000   0.00000000000000   Fe   (4g)
   0.24930000000000  -0.24930000000000   0.00000000000000   Fe   (4g)
   0.53570000000000   0.53570000000000   0.28990000000000   Se   (4i)
  -0.53570000000000  -0.53570000000000  -0.28990000000000   Se   (4i)
   0.17830000000000   0.17830000000000   0.09070000000000   Se   (4i)
  -0.17830000000000  -0.17830000000000  -0.09070000000000   Se   (4i)
   0.17520000000000   0.17520000000000   0.63140000000000   Tl   (4i)
  -0.17520000000000  -0.17520000000000  -0.63140000000000   Tl   (4i)"
TaTi3,TaTi3 (BCC SQS–16) Structure,"AB3_mC32_8_4a_12a & a,b/a,c/a,beta,x1,z1,x2,z2,x3,z3,x4,z4,x5,z5,x6,z6,x7,z7,x8,z8,x9,z9,x10,z10,x11,z11,x12,z12,x13,z13,x14,z14,x15,z15,x16,z16 --params=13.8779590179,0.333333333333,0.666666666667,109.471220634,0.0,0.5,0.5,0.25,0.625,0.0625,0.875,0.1875,0.125,0.8125,0.375,0.9375,0.25,0.625,0.125,0.3125,0.0,0.0,0.5,0.75,0.375,0.4375,0.25,0.125,0.75,0.875,0.625,0.5625,0.875,0.6875,0.75,0.375 & Cm C_{s}^{3} #8 (a^16) & mC32 & None & TaTi3 & TaTi3 & C. Jiang et al., Phys. Rev. B 69, 214202(2004)
   1.00000000000000
   6.93897950895000  -2.31299316965000   0.00000000000000
   6.93897950895000   2.31299316965000   0.00000000000000
  -3.08399089279196   0.00000000000000   8.72284349388071
    Ta    Ti
     4    12
Direct
   0.00000000000000   0.00000000000000   0.50000000000000   Ta   (2a)
   0.50000000000000   0.50000000000000   0.25000000000000   Ta   (2a)
   0.62500000000000   0.62500000000000   0.06250000000000   Ta   (2a)
   0.87500000000000   0.87500000000000   0.18750000000000   Ta   (2a)
   0.12500000000000   0.12500000000000   0.81250000000000   Ti   (2a)
   0.37500000000000   0.37500000000000   0.93750000000000   Ti   (2a)
   0.25000000000000   0.25000000000000   0.62500000000000   Ti   (2a)
   0.12500000000000   0.12500000000000   0.31250000000000   Ti   (2a)
   0.00000000000000   0.00000000000000   0.00000000000000   Ti   (2a)
   0.50000000000000   0.50000000000000   0.75000000000000   Ti   (2a)
   0.37500000000000   0.37500000000000   0.43750000000000   Ti   (2a)
   0.25000000000000   0.25000000000000   0.12500000000000   Ti   (2a)
   0.75000000000000   0.75000000000000   0.87500000000000   Ti   (2a)
   0.62500000000000   0.62500000000000   0.56250000000000   Ti   (2a)
   0.87500000000000   0.87500000000000   0.68750000000000   Ti   (2a)
   0.75000000000000   0.75000000000000   0.37500000000000   Ti   (2a)"
AuTe2,Calaverite (AuTe2) Structure,"AB2_mP12_7_2a_4a & a,b/a,c/a,beta,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6 --params=8.76,0.503424657534,1.15867579909,125.2,0.7483,0.4938,0.1243,0.246,-0.0059,0.8731,-0.0649,-0.0138,0.5728,0.5585,0.052,0.6747,0.0575,0.4464,0.4209,0.4363,0.5585,0.3235 & Pc C_{s}^{2} #7 (a^6) & mP12 & None & AuTe2 & AuTe2 & F. Pertlik, Zeitschrift f{""u}r Kristallographie - Crystalline Materials 169, 227-236 (1984)
   1.00000000000000
   8.76000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.41000000000000   0.00000000000000
  -5.85078800912340   0.00000000000000   8.29402071810155
    Au    Te
     4     8
Direct
   0.74830000000000   0.49380000000000   0.12430000000000   Au   (2a)
   0.74830000000000  -0.49380000000000   0.62430000000000   Au   (2a)
   0.24600000000000  -0.00590000000000   0.87310000000000   Au   (2a)
   0.24600000000000   0.00590000000000   1.37310000000000   Au   (2a)
  -0.06490000000000  -0.01380000000000   0.57280000000000   Te   (2a)
  -0.06490000000000   0.01380000000000   1.07280000000000   Te   (2a)
   0.55850000000000   0.05200000000000   0.67470000000000   Te   (2a)
   0.55850000000000  -0.05200000000000   1.17470000000000   Te   (2a)
   0.05750000000000   0.44640000000000   0.42090000000000   Te   (2a)
   0.05750000000000  -0.44640000000000   0.92090000000000   Te   (2a)
   0.43630000000000   0.55850000000000   0.32350000000000   Te   (2a)
   0.43630000000000  -0.55850000000000   0.82350000000000   Te   (2a)"
